Time,Interval Start,Interval End,Location,Location Type,Market,SPP
2024-07-13 00:00:00-05:00,2024-07-13 00:00:00-05:00,2024-07-13 01:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,15.82
2024-07-13 01:00:00-05:00,2024-07-13 01:00:00-05:00,2024-07-13 02:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,14.76
2024-07-13 02:00:00-05:00,2024-07-13 02:00:00-05:00,2024-07-13 03:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,14.51
2024-07-13 03:00:00-05:00,2024-07-13 03:00:00-05:00,2024-07-13 04:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,15.07
2024-07-13 04:00:00-05:00,2024-07-13 04:00:00-05:00,2024-07-13 05:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,14.22
2024-07-13 05:00:00-05:00,2024-07-13 05:00:00-05:00,2024-07-13 06:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,12.85
2024-07-13 06:00:00-05:00,2024-07-13 06:00:00-05:00,2024-07-13 07:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,13.55
2024-07-13 07:00:00-05:00,2024-07-13 07:00:00-05:00,2024-07-13 08:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,11.24
2024-07-13 08:00:00-05:00,2024-07-13 08:00:00-05:00,2024-07-13 09:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,10.38
2024-07-13 09:00:00-05:00,2024-07-13 09:00:00-05:00,2024-07-13 10:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,12.17
2024-07-13 10:00:00-05:00,2024-07-13 10:00:00-05:00,2024-07-13 11:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,15.44
2024-07-13 11:00:00-05:00,2024-07-13 11:00:00-05:00,2024-07-13 12:00:00-05:00,MOZART_WIND1,Resource Node,Day_Ahead,21.34
